hidden,output,seed,method,lr,scale,batch,epochs,first_below,best_loss,output_bias
leaky_relu,relu,16,Adam,0.03,1.0,50,2000,,0.4873441368640933,0.5
leaky_relu,relu,16,Adam,0.05,1.0,50,2000,,0.48816102642489845,0.5
leaky_relu,relu,17,Adam,0.015,1.0,50,2000,,0.08983418779698293,0.5
leaky_relu,relu,17,Adam,0.02,1.0,50,2000,,0.16,0.5
leaky_relu,relu,17,Adam,0.03,1.0,50,2000,,0.2700000265808305,0.5
leaky_relu,relu,17,Adam,0.05,1.0,50,2000,,0.32,0.5
leaky_relu,relu,18,Adam,0.015,1.0,50,2000,,0.1033973794072196,0.5
leaky_relu,relu,18,Adam,0.02,1.0,50,2000,,0.08000053136468299,0.5
leaky_relu,relu,18,Adam,0.03,1.0,50,2000,,0.32000001594295674,0.5
leaky_relu,relu,18,Adam,0.05,1.0,50,2000,,0.43,0.5
leaky_relu,relu,19,Adam,0.015,1.0,50,2000,,0.06155391282023793,0.5
leaky_relu,relu,19,Adam,0.02,1.0,50,2000,,0.13746068310065102,0.5
leaky_relu,relu,19,Adam,0.03,1.0,50,2000,,0.3,0.5
leaky_relu,relu,19,Adam,0.05,1.0,50,2000,,0.41,0.5
leaky_relu,relu,20,Adam,0.015,1.0,50,2000,,0.15687578818716932,0.5
leaky_relu,relu,20,Adam,0.02,1.0,50,2000,,0.17269101798468747,0.5
leaky_relu,relu,20,Adam,0.03,1.0,50,2000,,0.21,0.5
leaky_relu,relu,20,Adam,0.05,1.0,50,2000,,0.27,0.5
leaky_relu,relu,21,Adam,0.015,1.0,50,2000,,0.1302798652091642,0.5
leaky_relu,relu,21,Adam,0.02,1.0,50,2000,,0.25,0.5
leaky_relu,relu,21,Adam,0.03,1.0,50,2000,,0.31,0.5
leaky_relu,relu,21,Adam,0.05,1.0,50,2000,,0.45,0.5
leaky_relu,relu,22,Adam,0.015,1.0,50,2000,,0.10834870746050779,0.5
leaky_relu,relu,22,Adam,0.02,1.0,50,2000,,0.13000000000002046,0.5
leaky_relu,relu,22,Adam,0.03,1.0,50,2000,,0.39000000000690316,0.5
leaky_relu,relu,22,Adam,0.05,1.0,50,2000,,0.390000000000001,0.5
leaky_relu,relu,23,Adam,0.015,1.0,50,2000,,0.0222295352136749,0.5
leaky_relu,relu,23,Adam,0.02,1.0,50,2000,,0.13705825604992591,0.5
leaky_relu,relu,23,Adam,0.03,1.0,50,2000,,0.46,0.5
leaky_relu,relu,23,Adam,0.05,1.0,50,2000,,0.46,0.5
leaky_relu,relu,24,Adam,0.015,1.0,50,2000,,0.12532548554323975,0.5
leaky_relu,relu,24,Adam,0.02,1.0,50,2000,,0.111767942287709,0.5
leaky_relu,relu,24,Adam,0.03,1.0,50,2000,,0.19991604655846365,0.5
leaky_relu,relu,24,Adam,0.05,1.0,50,2000,,0.3900000002137719,0.5
leaky_relu,relu,25,Adam,0.015,1.0,50,2000,,0.12000201068905447,0.5
leaky_relu,relu,25,Adam,0.02,1.0,50,2000,,0.26000000000010315,0.5
leaky_relu,relu,25,Adam,0.03,1.0,50,2000,,0.3900000000107711,0.5
leaky_relu,relu,25,Adam,0.05,1.0,50,2000,,0.4755028721360206,0.5
leaky_relu,relu,26,Adam,0.015,1.0,50,2000,,0.10172008152681905,0.5
leaky_relu,relu,26,Adam,0.02,1.0,50,2000,,0.33,0.5
leaky_relu,relu,26,Adam,0.03,1.0,50,2000,,0.42,0.5
leaky_relu,relu,26,Adam,0.05,1.0,50,2000,,0.46,0.5
leaky_relu,relu,27,Adam,0.015,1.0,50,2000,,0.09000001851765045,0.5
leaky_relu,relu,27,Adam,0.02,1.0,50,2000,,0.3200000000011605,0.5
leaky_relu,relu,27,Adam,0.03,1.0,50,2000,,0.39000000000350127,0.5
leaky_relu,relu,27,Adam,0.05,1.0,50,2000,,0.46,0.5
leaky_relu,relu,28,Adam,0.015,1.0,50,2000,,0.05369668238777756,0.5
leaky_relu,relu,28,Adam,0.02,1.0,50,2000,,0.030000001016032965,0.5
leaky_relu,relu,28,Adam,0.03,1.0,50,2000,,0.13,0.5
leaky_relu,relu,28,Adam,0.05,1.0,50,2000,,0.42000000223714584,0.5
leaky_relu,relu,29,Adam,0.015,1.0,50,2000,,0.13839752072332057,0.5
leaky_relu,relu,29,Adam,0.02,1.0,50,2000,,0.07436401367772306,0.5
leaky_relu,relu,29,Adam,0.03,1.0,50,2000,,0.22,0.5
leaky_relu,relu,29,Adam,0.05,1.0,50,2000,,0.27,0.5
