hidden,output,seed,method,lr,scale,batch,epochs,first_below,best_loss
leaky_relu,relu,2,Adam,0.01,1,50,5000,,0.08
leaky_relu,relu,3,Adam,0.01,1,50,5000,,0.15
leaky_relu,relu,4,Adam,0.01,1,50,5000,,0.18
softplus,relu,0,Adam,0.03,1.0,50,5000,,0.10841398793688843
softplus,relu,0,Adam,0.03,3.0,50,5000,,0.05666573400271727
softplus,relu,0,Adam,0.05,1.0,50,5000,,0.45315655011665273
softplus,relu,0,Adam,0.05,3.0,50,5000,,0.4568379827769452
softplus,relu,0,Adam,0.1,1.0,50,5000,,0.4805999999999743
softplus,relu,0,Adam,0.1,3.0,50,5000,,0.48455275701068046
softplus,relu,1,Adam,0.03,1.0,50,5000,,0.23000011609274046
softplus,relu,1,Adam,0.03,3.0,50,5000,,0.04411390975065263
softplus,relu,1,Adam,0.05,1.0,50,5000,,0.41856500757172355
softplus,relu,1,Adam,0.05,3.0,50,5000,,0.34540592813294535
softplus,relu,1,Adam,0.1,1.0,50,5000,,0.4729003109475073
softplus,relu,1,Adam,0.1,3.0,50,5000,,0.42022027864275235
softplus,relu,2,Adam,0.03,1.0,50,5000,,0.10954479345339176
softplus,relu,2,Adam,0.03,3.0,50,5000,,0.3237104055750271
softplus,relu,2,Adam,0.05,1.0,50,5000,,0.4527999675697445
softplus,relu,2,Adam,0.05,3.0,50,5000,,0.45279998186194403
softplus,relu,2,Adam,0.1,1.0,50,5000,,0.4860644845128914
softplus,relu,2,Adam,0.1,3.0,50,5000,,0.4715111101577552
softplus,relu,3,Adam,0.03,1.0,50,5000,,0.16
softplus,relu,3,Adam,0.03,3.0,50,5000,,0.1864537538592083
softplus,relu,3,Adam,0.05,1.0,50,5000,,0.46129120717520855
softplus,relu,3,Adam,0.05,3.0,50,5000,,0.46259971989205567
softplus,relu,3,Adam,0.1,1.0,50,5000,,0.46579999999993865
softplus,relu,3,Adam,0.1,3.0,50,5000,,0.4689999999997712
softplus,relu,4,Adam,0.03,1.0,50,5000,,0.17
softplus,relu,4,Adam,0.03,3.0,50,5000,,0.08843283843130688
softplus,relu,4,Adam,0.05,1.0,50,5000,,0.34479360109998664
softplus,relu,4,Adam,0.05,3.0,50,5000,,0.37501232485737895
softplus,relu,4,Adam,0.1,1.0,50,5000,,0.4787999947633405
softplus,relu,4,Adam,0.1,3.0,50,5000,,0.49179999999987933
softplus,relu,5,Adam,0.03,1.0,50,5000,,0.2339538960103519
softplus,relu,5,Adam,0.03,3.0,50,5000,,0.1306681379123674
softplus,relu,5,Adam,0.05,1.0,50,5000,,0.45702039336104683
softplus,relu,5,Adam,0.05,3.0,50,5000,,0.4607868763481062
softplus,relu,5,Adam,0.1,1.0,50,5000,,0.47740000000008714
softplus,relu,5,Adam,0.1,3.0,50,5000,,0.48719999999991964
softplus,relu,6,Adam,0.03,1.0,50,5000,,0.16000000000122058
softplus,relu,6,Adam,0.03,3.0,50,5000,,0.1956952447629356
softplus,relu,6,Adam,0.05,1.0,50,5000,,0.45279977711282077
softplus,relu,6,Adam,0.05,3.0,50,5000,,0.45750630935600134
softplus,relu,6,Adam,0.1,1.0,50,5000,,0.47079999999988387
softplus,relu,6,Adam,0.1,3.0,50,5000,,0.47399999999988685
softplus,relu,7,Adam,0.03,1.0,50,5000,,0.35154608297089834
softplus,relu,7,Adam,0.03,3.0,50,5000,,0.24000000003678082
softplus,relu,7,Adam,0.05,1.0,50,5000,,0.4572106551879228
softplus,relu,7,Adam,0.05,3.0,50,5000,,0.4561622987897411
softplus,relu,7,Adam,0.1,1.0,50,5000,,0.469479527879038
softplus,relu,7,Adam,0.1,3.0,50,5000,,0.47400000000001113
softplus,relu,8,Adam,0.03,1.0,50,5000,,0.29914188746275294
softplus,relu,8,Adam,0.03,3.0,50,5000,,0.2643499984620832
softplus,relu,8,Adam,0.05,1.0,50,5000,,0.45129118259455725
softplus,relu,8,Adam,0.05,3.0,50,5000,,0.45006341444640496
softplus,relu,8,Adam,0.1,1.0,50,5000,,0.4805999999999349
softplus,relu,8,Adam,0.1,3.0,50,5000,,0.48575554285271727
softplus,relu,9,Adam,0.03,1.0,50,5000,,0.1
softplus,relu,9,Adam,0.03,3.0,50,5000,,0.09
softplus,relu,9,Adam,0.05,1.0,50,5000,,0.29626503727645437
softplus,relu,9,Adam,0.05,3.0,50,5000,,0.35144084999153835
softplus,relu,9,Adam,0.1,1.0,50,5000,,0.3900866102264227
softplus,relu,9,Adam,0.1,3.0,50,5000,,0.48519557792724854
leaky_relu,relu,0,Adam,0.03,1.0,50,5000,,0.26
leaky_relu,relu,0,Adam,0.03,3.0,50,5000,,0.26
leaky_relu,relu,0,Adam,0.05,1.0,50,5000,,0.34
leaky_relu,relu,0,Adam,0.05,3.0,50,5000,,0.38
leaky_relu,relu,0,Adam,0.1,1.0,50,5000,,0.39
leaky_relu,relu,0,Adam,0.1,3.0,50,5000,,0.39
leaky_relu,relu,1,Adam,0.03,1.0,50,5000,,0.09394520072144177
leaky_relu,relu,1,Adam,0.03,3.0,50,5000,,0.18
leaky_relu,relu,1,Adam,0.05,1.0,50,5000,,0.25
leaky_relu,relu,1,Adam,0.05,3.0,50,5000,,0.24
leaky_relu,relu,1,Adam,0.1,1.0,50,5000,,0.46
leaky_relu,relu,1,Adam,0.1,3.0,50,5000,,0.42
leaky_relu,relu,2,Adam,0.03,1.0,50,5000,,0.3
leaky_relu,relu,2,Adam,0.03,3.0,50,5000,,0.27
leaky_relu,relu,2,Adam,0.05,1.0,50,5000,,0.45
leaky_relu,relu,2,Adam,0.05,3.0,50,5000,,0.4
leaky_relu,relu,2,Adam,0.1,1.0,50,5000,,0.46
leaky_relu,relu,2,Adam,0.1,3.0,50,5000,,0.44
leaky_relu,relu,3,Adam,0.03,1.0,50,5000,,0.31000000000023537
leaky_relu,relu,3,Adam,0.03,3.0,50,5000,,0.35
leaky_relu,relu,3,Adam,0.05,1.0,50,5000,,0.35
leaky_relu,relu,3,Adam,0.05,3.0,50,5000,,0.35
leaky_relu,relu,3,Adam,0.1,1.0,50,5000,,0.49847596380974146
leaky_relu,relu,3,Adam,0.1,3.0,50,5000,,0.49805830533757167
leaky_relu,relu,4,Adam,0.03,1.0,50,5000,,0.26
leaky_relu,relu,4,Adam,0.03,3.0,50,5000,,0.31
leaky_relu,relu,4,Adam,0.05,1.0,50,5000,,0.31
leaky_relu,relu,4,Adam,0.05,3.0,50,5000,,0.38
leaky_relu,relu,4,Adam,0.1,1.0,50,5000,,0.32
leaky_relu,relu,4,Adam,0.1,3.0,50,5000,,0.47
leaky_relu,relu,5,Adam,0.03,1.0,50,5000,,0.26
leaky_relu,relu,5,Adam,0.03,3.0,50,5000,,0.28
leaky_relu,relu,5,Adam,0.05,1.0,50,5000,,0.3
leaky_relu,relu,5,Adam,0.05,3.0,50,5000,,0.36
leaky_relu,relu,5,Adam,0.1,1.0,50,5000,,0.44
leaky_relu,relu,5,Adam,0.1,3.0,50,5000,,0.49
leaky_relu,relu,6,Adam,0.03,1.0,50,5000,,0.25
leaky_relu,relu,6,Adam,0.03,3.0,50,5000,,0.4
leaky_relu,relu,6,Adam,0.05,1.0,50,5000,,0.35
leaky_relu,relu,6,Adam,0.05,3.0,50,5000,,0.46
leaky_relu,relu,6,Adam,0.1,1.0,50,5000,,0.43
leaky_relu,relu,6,Adam,0.1,3.0,50,5000,,0.5
leaky_relu,relu,7,Adam,0.03,1.0,50,5000,,0.28
leaky_relu,relu,7,Adam,0.03,3.0,50,5000,,0.35
leaky_relu,relu,7,Adam,0.05,1.0,50,5000,,0.39
leaky_relu,relu,7,Adam,0.05,3.0,50,5000,,0.44
leaky_relu,relu,7,Adam,0.1,1.0,50,5000,,0.47
leaky_relu,relu,7,Adam,0.1,3.0,50,5000,,0.4796706838809891
leaky_relu,relu,8,Adam,0.03,1.0,50,5000,,0.35
leaky_relu,relu,8,Adam,0.03,3.0,50,5000,,0.33
